Suspicious_Report,Sex,MaritalStatus,RepNumber,Age,High_Risk_Individual,FraudFound_P
1,Female,Single,12,21,0,0
0,Male,Single,15,34,0,0
1,Male,Married,7,47,0,0
0,Male,Married,4,65,0,0
0,Female,Single,3,27,0,0
0,Male,Single,12,20,1,0
0,Male,Married,14,36,0,0
1,Male,Single,1,0,1,0
1,Male,Single,7,30,0,0
1,Male,Married,7,42,0,0
1,Male,Single,7,71,0,0
1,Male,Married,13,52,0,0
1,Male,Married,11,28,0,0
0,Male,Single,12,0,1,0
1,Male,Married,3,61,0,0
1,Male,Single,16,38,0,0
1,Male,Married,15,41,0,0
0,Female,Married,6,28,0,0
1,Male,Single,6,32,0,0
0,Male,Married,2,30,0,0
1,Male,Married,3,40,0,0
1,Male,Married,13,47,0,0
1,Male,Married,8,63,0,0
0,Male,Single,5,31,0,0
0,Male,Married,12,45,0,0
1,Male,Married,16,60,0,0
1,Male,Married,1,21,0,0
1,Male,Married,1,42,0,0
1,Male,Single,9,0,0,1
1,Female,Married,12,39,0,0
1,Male,Married,2,47,0,0
1,Male,Single,6,0,0,0
1,Male,Single,2,42,0,0
0,Male,Single,2,30,0,0
1,Male,Married,12,42,0,0
0,Male,Single,5,34,0,0
0,Male,Married,11,30,0,0
1,Male,Single,4,27,0,0
1,Male,Married,12,55,0,0
1,Male,Married,1,35,0,0
1,Female,Married,11,35,0,0
1,Male,Married,15,44,0,0
1,Female,Single,12,42,0,0
1,Male,Married,5,41,0,0
0,Male,Married,16,72,0,0
0,Female,Married,8,29,0,0
0,Male,Single,9,32,0,0
1,Male,Married,13,37,0,0
1,Female,Married,10,37,0,0
1,Male,Married,9,59,0,0
1,Male,Married,14,49,0,0
1,Male,Married,4,27,0,0
1,Male,Married,4,21,1,1
1,Male,Married,13,50,0,1
1,Male,Single,8,45,0,0
0,Male,Married,7,49,0,0
1,Male,Single,5,30,0,0
1,Male,Single,11,37,0,0
1,Male,Single,15,0,1,0
1,Female,Single,4,27,0,0
1,Male,Married,6,49,0,0
0,Male,Single,3,0,0,0
1,Male,Married,13,26,0,0
1,Male,Single,1,48,0,0
1,Male,Single,6,31,0,0
0,Male,Single,16,40,0,0
1,Male,Married,12,65,0,0
1,Male,Married,5,64,0,0
1,Male,Single,16,44,0,0
1,Male,Married,9,27,0,0
0,Female,Single,5,28,0,0
0,Male,Married,7,47,0,0
0,Male,Married,12,60,0,0
0,Male,Married,9,33,0,0
0,Male,Married,1,27,0,0
0,Female,Married,12,47,0,0
1,Female,Single,16,29,0,0
0,Female,Married,10,33,0,0
1,Male,Married,13,38,0,0
0,Male,Single,6,37,0,0
0,Male,Married,13,36,0,0
1,Female,Married,9,44,0,0
1,Male,Single,14,27,0,0
0,Male,Single,1,39,0,0
0,Male,Married,13,74,0,0
1,Male,Single,8,23,0,0
0,Female,Single,2,25,0,0
1,Male,Single,13,38,0,0
1,Male,Married,16,41,0,0
1,Male,Single,7,34,0,1
0,Male,Married,15,61,0,0
1,Male,Married,7,38,0,1
1,Male,Single,4,40,0,0
0,Male,Married,12,41,0,0
1,Male,Married,10,36,0,0
1,Male,Married,2,31,0,1
0,Female,Married,10,35,0,0
0,Female,Married,14,37,0,0
1,Male,Married,14,55,0,0
0,Male,Single,12,31,0,0
1,Male,Married,5,28,0,0
0,Male,Married,11,44,0,0
1,Male,Married,1,47,0,0
1,Male,Married,16,40,0,0
1,Male,Single,4,23,0,0
0,Male,Married,9,35,0,0
1,Male,Married,10,56,0,1
0,Male,Married,2,50,0,0
0,Male,Single,2,16,0,0
0,Male,Married,12,32,0,0
1,Male,Single,4,28,0,0
1,Male,Single,9,68,0,1
1,Male,Single,7,0,1,1
1,Male,Single,8,0,1,0
0,Female,Married,12,18,1,0
1,Male,Single,2,30,0,0
1,Male,Married,1,51,0,0
0,Male,Single,6,22,1,0
1,Female,Married,16,26,0,0
0,Male,Married,15,53,0,0
0,Male,Married,9,27,0,0
1,Male,Single,14,29,0,0
1,Male,Single,10,32,0,0
0,Male,Single,14,18,1,0
0,Male,Married,6,60,0,0
1,Male,Married,12,53,0,0
1,Male,Single,16,29,0,0
1,Male,Married,6,29,0,0
0,Male,Married,9,41,0,0
1,Male,Married,9,29,0,0
1,Male,Married,2,42,0,0
1,Male,Married,9,34,0,0
1,Male,Married,11,51,0,0
1,Male,Married,3,32,0,0
1,Male,Married,10,52,0,0
1,Male,Married,8,61,0,0
0,Male,Single,1,25,0,0
1,Male,Married,6,41,0,0
0,Male,Single,10,33,0,0
1,Male,Married,1,39,0,1
1,Male,Single,13,30,0,0
1,Male,Widow,15,50,0,0
0,Female,Married,8,31,0,0
1,Male,Single,8,23,1,0
0,Male,Single,10,31,0,0
0,Female,Single,8,33,0,0
1,Male,Married,6,30,0,0
1,Male,Married,13,44,0,0
1,Male,Married,13,46,0,0
1,Male,Single,11,31,0,0
1,Male,Married,5,48,0,0
1,Male,Married,12,33,0,1
1,Male,Single,3,0,0,0
0,Female,Single,5,37,0,0
0,Male,Married,3,43,0,0
0,Female,Married,14,32,0,0
1,Male,Married,4,57,0,0
0,Male,Married,8,65,0,0
1,Female,Single,12,27,0,0
1,Male,Married,6,42,0,0
1,Male,Married,7,57,0,0
1,Male,Single,2,32,0,0
1,Male,Single,7,29,0,0
1,Male,Married,2,36,0,0
1,Male,Single,2,28,0,0
1,Female,Single,14,32,0,0
1,Male,Single,1,33,0,0
1,Male,Married,1,37,0,0
1,Female,Single,16,26,0,0
1,Male,Married,5,53,0,0
0,Male,Married,12,53,0,0
1,Male,Married,8,74,0,0
1,Male,Married,3,50,0,0
0,Male,Single,3,27,0,0
0,Male,Married,7,48,0,0
0,Female,Single,2,55,0,0
1,Male,Married,10,48,0,0
0,Male,Single,8,0,1,0
0,Male,Married,10,54,0,0
1,Male,Married,14,36,0,0
1,Male,Married,10,43,0,1
1,Male,Married,1,41,0,0
1,Male,Married,6,48,0,0
1,Male,Married,14,26,0,1
1,Female,Married,1,43,0,0
1,Male,Married,13,39,0,1
0,Male,Married,4,49,0,0
0,Male,Married,14,37,0,0
0,Male,Married,1,36,0,0
1,Female,Married,4,52,0,0
0,Male,Married,16,29,0,0
0,Male,Married,10,38,0,0
1,Male,Single,2,34,0,0
1,Male,Single,14,0,1,0
0,Male,Married,16,41,0,1
1,Male,Married,15,64,0,0
1,Male,Married,11,27,0,1
1,Male,Single,5,25,0,0
0,Male,Single,5,21,0,0
0,Male,Married,16,31,0,0
1,Male,Single,3,39,0,0
0,Female,Married,1,37,0,0
1,Male,Married,11,41,0,0
1,Male,Married,16,37,0,0
1,Male,Married,7,28,0,0
1,Male,Married,12,57,0,0
0,Male,Married,9,61,0,0
1,Male,Married,3,69,0,0
1,Male,Married,11,67,0,0
1,Male,Married,1,52,0,0
1,Male,Single,15,23,0,0
1,Male,Married,2,38,0,0
0,Male,Married,13,32,0,0
1,Male,Married,9,26,0,0
1,Male,Married,2,29,0,0
0,Male,Married,5,26,0,0
1,Female,Single,14,30,0,0
1,Male,Married,1,41,0,1
1,Male,Married,14,65,0,0
1,Male,Married,13,33,0,0
1,Male,Married,10,44,0,0
1,Male,Married,12,26,0,1
0,Male,Married,5,32,0,0
1,Male,Married,16,29,0,0
1,Male,Married,16,26,0,1
1,Female,Single,3,37,0,0
1,Male,Married,11,33,0,0
1,Male,Married,7,54,0,0
1,Male,Single,5,26,0,0
